__time,/pez/service_rtt_magnet/call_id,/pez/service_rtt_magnet/request_stamp/nanosec,/pez/service_rtt_magnet/request_stamp/sec,/pez/service_rtt_magnet/response_stamp/nanosec,/pez/service_rtt_magnet/response_stamp/sec,/pez/service_rtt_magnet/rtt/nanosec,/pez/service_rtt_magnet/rtt/sec,/pez/service_rtt_magnet/success,/pez/service_rtt_neutral/call_id,/pez/service_rtt_neutral/request_stamp/nanosec,/pez/service_rtt_neutral/request_stamp/sec,/pez/service_rtt_neutral/response_stamp/nanosec,/pez/service_rtt_neutral/response_stamp/sec,/pez/service_rtt_neutral/rtt/nanosec,/pez/service_rtt_neutral/rtt/sec,/pez/service_rtt_neutral/success,/pez/service_rtt_start/call_id,/pez/service_rtt_start/request_stamp/nanosec,/pez/service_rtt_start/request_stamp/sec,/pez/service_rtt_start/response_stamp/nanosec,/pez/service_rtt_start/response_stamp/sec,/pez/service_rtt_start/rtt/nanosec,/pez/service_rtt_start/rtt/sec,/pez/service_rtt_start/success,/pez/service_rtt_stop/call_id,/pez/service_rtt_stop/request_stamp/nanosec,/pez/service_rtt_stop/request_stamp/sec,/pez/service_rtt_stop/response_stamp/nanosec,/pez/service_rtt_stop/response_stamp/sec,/pez/service_rtt_stop/rtt/nanosec,/pez/service_rtt_stop/rtt/sec,/pez/service_rtt_stop/success,rt_ms_stop,rtt_ms_magnet,rtt_ms_neutral,rtt_ms_start
1753950875.425817,,,,,,,,,,,,,,,,,,,,,,,,,104.000000000,997340621.000000000,1753950874.000000000,46768416.000000000,1753950875.000000000,49427795.000000000,0.000000000,1.000000000,49.427795000,,,
1753950875.883545,,,,,,,,,,,,,,,,,105.000000000,497404818.000000000,1753950875.000000000,505889118.000000000,1753950875.000000000,8484300.000000000,0.000000000,1.000000000,,,,,,,,,,,,8.484300000
1753950876.384823,106.000000000,997451354.000000000,1753950875.000000000,6948968.000000000,1753950876.000000000,9497614.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.497614000,,
1753950876.887168,,,,,,,,,107.000000000,497484819.000000000,1753950876.000000000,509521015.000000000,1753950876.000000000,12036196.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,12.036196000,
1753950877.885395,108.000000000,497293911.000000000,1753950877.000000000,508042363.000000000,1753950877.000000000,10748452.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,10.748452000,,
1753950878.426358,,,,,,,,,,,,,,,,,,,,,,,,,109.000000000,997227351.000000000,1753950877.000000000,47771356.000000000,1753950878.000000000,50544005.000000000,0.000000000,1.000000000,50.544005000,,,
1753950878.885447,,,,,,,,,,,,,,,,,110.000000000,497297716.000000000,1753950878.000000000,507671102.000000000,1753950878.000000000,10373386.000000000,0.000000000,1.000000000,,,,,,,,,,,,10.373386000
1753950879.384439,111.000000000,997432996.000000000,1753950878.000000000,6666666.000000000,1753950879.000000000,9233670.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,9.233670000,,
1753950879.884194,,,,,,,,,112.000000000,497366421.000000000,1753950879.000000000,506512864.000000000,1753950879.000000000,9146443.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,9.146443000,
1753950880.887478,113.000000000,497217757.000000000,1753950880.000000000,510002463.000000000,1753950880.000000000,12784706.000000000,0.000000000,1.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,12.784706000,,
